DATE,STATE,CONFIRMED,RECOVERED,DECEASED,TOTAL TESTED
23-04-2021,Punjab,6728,3294,75,56579
24-04-2021,Tripura,127,45,\N,3436
24-04-2021,Andhra Pradesh,11698,4421,37,50972
12-05-2021,Puducherry,2007,1247,27,9176
24-05-2021,Haryana,3757,8359,95,45100
24-05-2021,Arunachal Pradesh,480,248,4,6607
07-04-2021,Tripura,21,1,1,1134
09-04-2021,Meghalaya,42,6,\N,2569
07-05-2021,Punjab,8297,4976,165,68418
09-05-2021,Chhattisgarh,9120,13243,189,48732
15-05-2021,Jharkhand,3157,6762,65,52939
18-05-2021,Delhi,4482,9403,265,65004
20-05-2021,Ladakh,107,106,1,1749
21-05-2021,Himachal Pradesh,2662,4535,57,14440
05-04-2021,Odisha,573,215,\N,28109
16-04-2021,Chhattisgarh,14912,12240,138,49584
22-04-2021,Jharkhand,7595,2373,106,73837
27-04-2021,Nagaland,207,16,\N,645
03-05-2021,Andaman and Nicobar Islands,66,52,1,778
12-05-2021,Tamil Nadu,30355,19508,293,156356
20-05-2021,Maharashtra,29911,47371,984,279911
06-04-2021,Rajasthan,2236,851,13,51715
08-04-2021,Delhi,7437,3687,24,91770
11-04-2021,Himachal Pradesh,570,506,\N,5186
20-04-2021,Manipur,94,4,1,1953
03-05-2021,Maharashtra,48621,59500,567,211668
13-05-2021,Uttarakhand,7127,5748,122,28708
15-05-2021,Assam,5347,3254,63,64701
25-05-2021,Odisha,10939,11769,33,62261
02-04-2021,Tamil Nadu,3290,1715,12,86066
05-04-2021,Haryana,2040,1501,8,18663
05-04-2021,Arunachal Pradesh,2,\N,\N,356
10-04-2021,Maharashtra,55411,53005,309,219977
11-04-2021,Mizoram,29,1,\N,1582
20-04-2021,Uttarakhand,3012,734,27,28024
22-04-2021,Assam,1931,398,10,73428
04-05-2021,Manipur,433,111,2,2473
10-05-2021,Madhya Pradesh,9715,7324,81,61530
18-05-2021,Tripura,746,269,4,9789
02-04-2021,Himachal Pradesh,406,285,4,4917
25-04-2021,Tripura,100,18,\N,4174
25-04-2021,Andhra Pradesh,12634,4304,69,62885
27-04-2021,Meghalaya,147,90,4,2144
04-05-2021,Uttarakhand,7028,5696,85,38046
06-05-2021,Assam,4936,2976,46,61377
10-05-2021,Gujarat,11592,14931,117,135787
16-05-2021,Odisha,11732,12077,19,56442
02-04-2021,Mizoram,8,\N,\N,735
08-04-2021,Lakshadweep,8,3,\N,276
20-04-2021,Puducherry,638,253,4,5670
08-05-2021,Punjab,9042,6647,171,64918
09-05-2021,Andhra Pradesh,22164,18832,92,105494
17-05-2021,Rajasthan,11597,29459,157,36176
19-05-2021,Delhi,3846,9427,235,66573
22-05-2021,Himachal Pradesh,2341,5021,55,15220
06-04-2021,Odisha,588,266,\N,25005
15-04-2021,Punjab,4311,2478,50,33688
23-04-2021,Jharkhand,5741,3205,63,42523
26-04-2021,Delhi,20201,22055,380,57690
